id,name,brand_name,price,Origin,category,original_price,discount,discount_rate
270494125,Cốc giữ nhiệt inox 304 Elmich EL8300G dung tích 420ml,Elmich,299250,Trung Quốc,Bình/ Ly giữ nhiệt,480000,180750,38
18797709,Nệm Cao Su Non Gấp 3 ( 1m8x2mx10cm ) ,Happy,950000,Việt Nam,Nệm và phụ kiện,950000,0,0
217148812,Đèn Bàn Học LED RG0 Tamayoko 3 Chế Độ Ánh Sáng Bảo Vệ Mắt Chống Cận Thị Không Phát Xạ Ánh Sáng Xanh Model TB-55S/SW,Tamayoko,950000,Trung Quốc,Đèn học và đọc sách,985000,35000,4
193207962,Chảo vân đá đáy từ Nagakawa NAG2406 (24cm) - Nhôm nguyên khối - Dùng cho mọi loại bếp - Hàng chính hãng,Nagakawa,257000,Trung Quốc,Nồi và chảo,440000,183000,42
214789316,"Bàn để ủi, cầu là quần áo dạng đứng với khung bằng thép thêm tấm lót thay thế LEBENLANG LBL3636 - hàng chính hãng",Lebenlang,639000,Trung Quốc,Phụ kiện giặt ủi,959000,320000,33
259514009,"Muỗng Đong Định Lượng Greenhome, 2 Đầu, Chia Vạch Sẵn, Tiện Lợi, Đong Phân Bón Dạng Bột, Gia Vị",Greenhome,1500,Việt Nam,"Hoa tươi, Cây cảnh & Hạt giống",1500,0,0
83412126,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML,LocknLock,273000,Trung Quốc,Bình/ Ly giữ nhiệt,528000,255000,48
262300577,Bình giữ nhiệt Sling Ring Tumbler LocknLock LHC4321IVY - Dung tích 650ml - Màu IVY,LocknLock,334000,Trung Quốc,Bình/ Ly giữ nhiệt,630000,296000,47
271539474,"Bộ hộp cơm giữ nhiệt Pump vacuum lunch box LocknLock LHC8052S02B - 5pcs (3 hộp, 1 túi, 1 bộ muỗng đĩa) - Màu",LocknLock,770000,Trung Quốc,Bộ hộp cơm và phụ kiện,1490000,720000,48
73124602,Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&amp;Lock Vacuum Bottle LHC6180FU (800ML),LocknLock,339000,Trung Quốc,Bình/ Ly giữ nhiệt,677000,338000,50
273170621,"Thùng Rác Treo Tủ Bếp Có Nắp Đậy Thông Minh, Thùng Rác Treo Tường Dán Tường Có Thanh Treo Cửa Tủ Bếp FEIDASH - Hàng Chính Hãng",feidash,136000,Trung Quốc,Dụng cụ vệ sinh,280000,144000,51
272671450,Bình giữ nhiệt Inox 304 ELMICH dung tích 480ml EL8296B/W - Hàng Chính Hãng,Elmich,188000,Trung Quốc,Bình/ Ly giữ nhiệt,515000,327000,63
275451439,BÁT ÚP MÌ INOX 304 ELMICH EL8314 DUNG TÍCH 1.35L,Elmich,135000,Trung Quốc,"Tô, chén, dĩa",250000,115000,46
214865436,"Tủ Để Đồ Có Nắp Đậy HÀNG NHẬP TRUNG ĐẸP XỊN Bằng Nhựa PVC Chống Ẩm Mốc Trong, Kệ Để Đồ Nhà Tắm Vệ Sinh Kèm Bánh Xe Linh Hoạt",VANDO,1099000,Trung Quốc,,2299000,1200000,52
248184506,"Combo 2 nắp bồn cầu thông minh dùng cơ Bumia bidet, tự rửa vệ sinh hậu môn và vệ sinh cho phụ nữ , vòi xịt vệ sinh thông minh, mã BM-01V",BUMIA,2879000,Việt Nam,Thiết bị phòng tắm,2879000,0,0
17423771,"5 Viên Pin CR2032 3V Panasonic Lithium thay pin Smartkey , Cmos , Pin thay Airtag - Hàng chính hãng",Panasonic,80000,Thái Lan/ Indonesia/Trung Quốc,Pin và dụng cụ sạc pin,100000,20000,20
85029511, Ổ cắm Điện Quang ĐQ ESK SM750SL (5 lỗ 3 chấu),Điện Quang,190000,,"Ổ cắm, ổn áp, biến áp",238684,48684,20
892121,Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA,Energizer,144000,Singapore,Pin và dụng cụ sạc pin,144000,0,0
274957619,Bình giữ nhiệt Flexi Sunhouse 920 ml Sunhouse KS-TU920,Sunhouse,145000,Trung Quốc,Bình/ Ly giữ nhiệt,190000,45000,24
201040328,Bình giữ nhiệt LocknLock Riga Tumbler Vietnam Edition LHC4160 897ml,LocknLock,360000,Trung Quốc,Bình/ Ly giữ nhiệt,715000,355000,50
242435301,"Kệ Góc Nhà Bếp Khung Tròn INOX Cao Cấp Kệ Để Nồi Đa Năng Tiết Kiệm Không Gian VANDO, Kệ Để Xoong Nồi Đa Năng Nhà Bếp",VANDO,429000,Việt Nam,,856000,427000,50
193645848,Ấm đun nước inox cao cấp Smartcook 2.5L SM8280OL,Elmich,351500,Trung Quốc,,759000,407500,54
197590772,Dứa sấy dẻo 500 gam- nguyên vị 100% tự nhiên - ăn vặt siêu ngon - nông sản sạch,PAULEE,162000,Việt Nam,Phụ kiện phòng ăn,180000,18000,10
76541901,KHĂN TRẢI BÀN PAULEE 856B - HOA VĂN HỒNG - 150 CM X 264 CM - KHÔNG THẤM NƯỚC,PAULEE,189000,Đài Loan,Phụ kiện phòng ăn,210000,21000,10
273061077,"Tủ Để Chén Bát 3 Tầng Thông Minh VANDO Phiên Bản Mới Nhất, Tủ Chống Bụi Bẩn, Côn Trùng, Kèm Khay Hứng Nước Sạch Sẽ, Khô Ráo",VANDO,1199000,Trung Quốc,,1999000,800000,40
141246639,Hộp giữ nhiệt đựng đồ ăn có tay cầm Handle Food Jar LocknLock 700ml LHC8042NVY - Màu,LocknLock,420000,Trung Quốc,Dụng cụ chứa đựng thực phẩm,800000,380000,48
146432055,Túi Chân Không Tự Hút Đựng Chăn Mền Quần Áo Không Cần Dụng Cụ Hút,OEM,35000,Trung Quốc,Phụ kiện phòng ngủ,35000,0,0
273624233,Bình giữ nhiệt LocknLock Metro Two Way LHC4272/LHC4274 - Hàng chính hãng,LocknLock,302000,Trung Quốc,Bình/ Ly giữ nhiệt,605000,303000,50
186142362,Ô Dù Chống Nắng Che Mưa Cản UV Tự Động Đóng Mở Khung 12 Xương,NAVIVU,180000,Việt Nam,"Áo mưa, ô dù và phụ kiện đi mưa",180000,0,0
199728521,Bộ lau nhà đa năng Space Saving Sunhouse KS-CL3211PW,Sunhouse,235000,Việt Nam,Dụng cụ lau nhà,450000,215000,48
56880195,Bình nước Lock&Lock Eco Bottle ABF664BLU 750ml - Màu,LocknLock,122000,Trung Quốc,,242000,120000,50
180378151,Bình giữ nhiệt LocknLock Metro Drive LHC4277S 650ml - Kèm ống hút và cọ rửa,LocknLock,289000,Trung Quốc,Bình/ Ly giữ nhiệt,579000,290000,50
147265074,"Vỉ 2 VPin AA , Pin AAA DURACELL 1,5V Siêu Bền - Hàng chính hãng",DURACELL,30000,Trung Quốc,Pin và dụng cụ sạc pin,30000,0,0
7699066,"Chảo Nhôm Sâu Lòng Chống Dính Lock&Lock Baum Marble 1 Tay Cầm, Nắp Thủy Tinh LBU1305 (30cm)",LocknLock,438000,Trung Quốc,Nồi và chảo,879000,441000,50
275599590,Chảo Inox đa lớp Sunhouse IN20M6,Sunhouse,213000,Việt Nam,Nồi và chảo,352000,139000,39
207941719,Bộ cây lau nhà Lock&Lock Mini Spin Mop & 4 bông lau sàn ETM498MITS2 - Màu xanh mint,LocknLock,494000,Trung Quốc,Dụng cụ lau nhà,934000,440000,47
70820849,Pin CR2032 Energizer 3V vỉ 5 viên,Energizer,64600,Indonesia,Pin và dụng cụ sạc pin,64600,0,0
195852183,Bình giữ nhiệt bằng thép không gỉ LocknLock Jumbo Tumbler LHC4300NVY 900ML,LocknLock,382000,Trung Quốc,Bình/ Ly giữ nhiệt,730000,348000,48
275358388,Bình nhựa đựng nước LocknLock HAP814 - Dung tích 1.5L - Màu ngẫu nhiên,LocknLock,39000,Trung Quốc,,77000,38000,49
274823196,Ổ Cắm Điện Mở Rộng Xoay 180 Độ,NAVIVU,19900,Việt Nam,"Ổ cắm, ổn áp, biến áp",19900,0,0
